"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.33017,-0.0037246329,0,-32.26272,-5.5667717e-06,0
0.5,0,26.332525,-0.0037010428,0,-32.253491,-5.3826917e-06,0
0.5,0,26.334406,-0.0036786265,0,-32.244263,-5.2024383e-06,0
0.5,0,26.335912,-0.0036621542,0,-32.235035,-5.0248407e-06,0
0.5,0,26.337181,-0.0036590828,0,-32.225806,-4.8496061e-06,0
0.5,0,26.33836,-0.0036687883,0,-32.216578,-4.6765342e-06,0
0.5,0,26.33959,-0.0036838883,0,-32.207349,-4.5058727e-06,0
0.5,0,26.341001,-0.0036937125,0,-32.198121,-4.3381815e-06,0
0.5,0,26.342698,-0.0036918797,0,-32.188892,-4.1733493e-06,0
0.5,0,26.344759,-0.0036790704,0,-32.179664,-4.0101097e-06,0
0.5,0,26.347228,-0.003657682,0,-32.170435,-3.8468045e-06,0
0.5,0,26.350113,-0.0036290849,0,-32.161207,-3.6827558e-06,0
0.5,0,26.353395,-0.0035955165,0,-32.151978,-3.5189637e-06,0
0.5,0,26.357045,-0.0035611106,0,-32.14275,-3.3577537e-06,0
0.5,0,26.361014,-0.0035304948,0,-32.133521,-3.202012e-06,0
0.5,0,26.365234,-0.0035069382,0,-32.124293,-3.0544218e-06,0
0.5,0,26.369624,-0.0034915161,0,-32.115064,-2.9167373e-06,0
0.5,0,26.374098,-0.0034834675,0,-32.105836,-2.7893487e-06,0
0.5,0,26.378578,-0.0034806703,0,-32.096608,-2.6714618e-06,0
0.5,0,26.382993,-0.0034794121,0,-32.087379,-2.5617028e-06,0
0.5,0,26.387276,-0.0034772526,0,-32.078151,-2.4586978e-06,0
0.5,0,26.391361,-0.0034771657,0,-32.068922,-2.3610527e-06,0
0.5,0,26.395187,-0.0034843958,0,-32.059694,-2.2664298e-06,0
0.5,0,26.398717,-0.0034983657,0,-32.050465,-2.1707609e-06,0
0.5,0,26.401938,-0.0035137301,0,-32.041237,-2.0696767e-06,0
0.5,0,26.404835,-0.0035274993,0,-32.032008,-1.9615216e-06,0
0.5,0,26.407394,-0.0035409523,0,-32.02278,-1.8470177e-06,0
0.5,0,26.409638,-0.0035440373,0,-32.013551,-1.7287422e-06,0
0.5,0,26.411614,-0.0035199881,0,-32.004323,-1.6116738e-06,0
0.5,0,26.413391,-0.0034765368,0,-31.995094,-1.4993638e-06,0
0.5,0,26.415075,-0.0034293089,0,-31.985866,-1.3938828e-06,0
0.5,0,26.416772,-0.0033860192,0,-31.976637,-1.2988e-06,0
0.5,0,26.41858,-0.0033456003,0,-31.967409,-1.2175343e-06,0
0.5,0,26.420594,-0.0033168238,0,-31.958181,-1.1531283e-06,0
0.5,0,26.422875,-0.0033341841,0,-31.948952,-1.1064696e-06,0
0.5,0,26.425479,-0.0033902507,0,-31.939724,-1.075817e-06,0
0.5,0,26.428444,-0.003456292,0,-31.930495,-1.0606971e-06,0
0.5,0,26.431766,-0.003547066,0,-31.921267,-1.0577434e-06,0
0.5,0,26.435431,-0.0036710757,0,-31.912038,-1.0608218e-06,0
0.5,0,26.439418,-0.0038104565,0,-31.90281,-1.0670394e-06,0
0.5,0,26.443699,-0.0039488979,0,-31.893581,-1.0756e-06,0
0.5,0,26.448258,-0.0040733224,0,-31.884353,-1.0859565e-06,0
0.5,0,26.453085,-0.0041784048,0,-31.875124,-1.0971955e-06,0
0.5,0,26.458157,-0.0042737162,0,-31.865896,-1.1077336e-06,0
0.5,0,26.463466,-0.0043474144,0,-31.856667,-1.1161283e-06,0
0.5,0,26.469013,-0.004392,0,-31.847439,-1.1240987e-06,0
0.5,0,26.474765,-0.0044439188,0,-31.83821,-1.1325341e-06,0
0.5,0,26.480682,-0.004489867,0,-31.828982,-1.139148e-06,0
